BAR kodas,Likutis,Likučio skirtumas,Mat.vnt.,Pr. grupės kodas,Prekės kodas,Prekės pavadinimas,Sandėlis,Sujungimo Tipas,TOPO Eugestos kiekis,TOPO Eugestos kodas,TOPO Eugestos pavadinimas,TOPO Eugestos trumpas pavadinimas
,0.0,6,,,,,,Nerasta Eugestos ataskaitoje,6,509920602133,"Klaviatūra LOGITECH K120, USB, INT, juod","K120, USB, INT, "
871010380631,21.0,6,Vnt.,TG120,401788.0,Kokteilinė PHILIPS HR3652/00,LOG BENDRAS,Sujungta,27,871010380631,Kokteilinė PHILIPS HR3652/00,HR3652/00
190780931721,55.0,6,Vnt.,TG056,451737.0,Spausdintuvas HP DeskJet 2620 All-in-One,LOG BENDRAS,Sujungta,61,190780931721,Spausdintuvas HP DeskJet 2620 All-in-One,DeskJet 2620 All
272428813894,6.0,-6,Vnt.,TG150,404262.0,"USB raktas SONY USB 3.0 USM32X 32GB, juodas",LOG BENDRAS,Nerasta TOPO sandėlyje,0,,,
690144327388,192.0,6,Vnt.,TG057,421392.0,"Dėkliukas HUAWEI Y7 2019, nugarėlė, skaidri",LOG BENDRAS,Sujungta,198,690144327388,"Dėkliukas HUAWEI Y7 2019, nugarėlė, skai",Dėkliukas HUAWEI
692528193994,17.0,6,Vnt.,TG066,402331.0,"Ausinės JBL Tune500 ant ausų, mėlyna",LOG BENDRAS,Sujungta,23,692528193994,"Ausinės JBL Tune500 ant ausų, mėlyna",Tune500 ant ausų
421020123701,2.0,6,Vnt.,TG114,420414.0,Dantų šepetėlis ORAL-B D12.513 Kids Star Wars + kelioninis dėklas,LOG BROKAS,Sujungta,8,421020123701,Dantų šepetėlis ORAL-B D12.513 Kids Star,D12.513 Kids Sta
761303438226,95.0,6,Vnt.,TG108,420898.0,"Kavos kapsulės NESCAFE Dolce Gusto Lungo, 30 kaps., 210g",LOG BENDRAS,Sujungta,101,761303438226,Kavos kapsulės NESCAFE Dolce Gusto Lungo,Dolce Gusto Lung
401367402013,6.0,6,Vnt.,TG011,402552.0,"Elementai ANSMANN CR1616, 1vnt., litis, 3V",LOG BENDRAS,Sujungta,12,401367402013,"Elementai ANSMANN CR1616, 1vnt., litis,","CR1616, 1vnt., l"
502523271178,4.0,6,Vnt.,TG118,403062.0,Ausinės PANASONIC RP-HJE125E-R į ausis,LOG BENDRAS,Sujungta,10,502523271178,Ausinės PANASONIC RP-HJE125E-R į ausis,RP-HJE125E-R į a
303005009376,85.0,6,Vnt.,TG001,400923.0,Plaukų tiesinimo žnyplės BABYLISS ST330E,LOG BENDRAS,Sujungta,91,303005009376,Plaukų tiesinimo žnyplės BABYLISS ST330E,ST330E
509920606620,17.0,6,Vnt.,TG090,403725.0,"Pelė LOGITECH M220 Silent, bevielė, mėlyna",LOG BENDRAS,Sujungta,23,509920606620,"Pelė LOGITECH M220 Silent, bevielė, mėly","M220 Silent, bev"
692528193628,8.0,6,Vnt.,TG066,401134.0,"Ausinės JBL ENDURANCE RUN į ausis, su mikrofonu, sportui, geltonos",LOG BENDRAS,Sujungta,14,692528193628,"Ausinės JBL ENDURANCE RUN į ausis, su mi",ENDURANCE RUN į 
303005009510,33.0,6,Vnt.,TG001,400928.0,Plaukų tiesinimo žnyplės BABYLISS ST387E,LOG BENDRAS,Sujungta,39,303005009510,Plaukų tiesinimo žnyplės BABYLISS ST387E,ST387E
400814636440,36.0,6,Vnt.,TG146,400113.0,Virdulys SEVERIN WK 3644,LOG BENDRAS,Sujungta,42,400814636440,Virdulys SEVERIN WK 3644,WK 3644
697024452988,50.0,6,Vnt.,TG187,420516.0,Žaislas - Robotas Xiaomi Mi Builder Rover,LOG BENDRAS,Sujungta,56,697024452988,Žaislas - Robotas Xiaomi Mi Builder Rove,Žaislas - Robota
697024452693,22.0,6,Vnt.,TG187,420493.0,"Pelė Xiaomi Mi, bevielė, balta",LOG BENDRAS,Sujungta,28,697024452693,"Pelė Xiaomi Mi, bevielė, balta","Pelė Xiaomi Mi, "
304538637846,41.0,6,Vnt.,TG158,401112.0,Garų puodas TEFAL VC1451,LOG BENDRAS,Sujungta,47,304538637846,Garų puodas TEFAL VC1451,VC1451
871010385945,7.0,6,Vnt.,TG120,400229.0,Kavos virimo aparatas PHILIPS EP5335/10 Latte Go,LOG BENDRAS,Sujungta,13,871010385945,Kavos virimo aparatas PHILIPS EP5335/10,EP5335/10 LatteG
693417770425,115.0,6,Vnt.,TG187,420487.0,"Dirželis Xiaomi Mi Band 3, apyrankė, juoda",LOG BENDRAS,Sujungta,121,693417770425,"Dirželis Xiaomi Mi Band 3, apyrankė, juo",Dirželis Xiaomi 
871010381726,28.0,6,Vnt.,TG120,401892.0,"Virdulys PHILIPS HD9351/91 1,7 l",LOG BENDRAS,Sujungta,34,871010381726,"Virdulys PHILIPS HD9351/91 1,7 l","HD9351/91 1,7 l"
316843025450,59.0,6,Vnt.,TG158,401028.0,Vonios svarstyklės TEFAL PP1061,LOG BENDRAS,Sujungta,65,316843025450,Vonios svarstyklės TEFAL PP1061,PP1061
871010390114,190.0,6,Vnt.,TG120,421057.0,Pūkų surinkiklis PHILIPS GC026/80,LOG BENDRAS,Sujungta,196,871010390114,Pūkų surinkiklis PHILIPS GC026/80,GC026/80
192545873369,78.0,6,Vnt.,TG056,420474.0,Nešiojamas kompiuteris HP Pavilion Gaming i5-8300H/8/1TB/GTX1050Ti 4GB/Win,LOG BENDRAS,Sujungta,84,192545873369,Neš.komp. HP Pavilion 15-CX0056 Gaming i,Pavilion 15-CX00
354136131111,242.0,5,Vnt.,TG339,451730.0,Šaldytuvas FRIGELUX CUBE72A++,LOG BENDRAS,Sujungta,247,354136131111,Šaldytuvas FRIGELUX CUBE72A++,CUBE72A++
,0.0,5,,,,,,Nerasta Eugestos ataskaitoje,5,690144327479,"Mob.tel. HUAWEI Y7 2019, Blue","Y7 2019, Blue"
,0.0,5,,,,,,Nerasta Eugestos ataskaitoje,5,477903303024,Alkotesteris ALCODETECTOR EC8,EC8
400814602384,18.0,5,Vnt.,TG146,400042.0,Sulčiaspaudė SEVERIN ES 3566,LOG BENDRAS,Sujungta,23,400814602384,Sulčiaspaudė SEVERIN ES 3566,ES 3566
,0.0,5,,,,,,Nerasta Eugestos ataskaitoje,5,454873609029,Muzikinis centras SONY MHC-V42D,MHC-V42D
,0.0,5,,,,,,Nerasta Eugestos ataskaitoje,5,001901989145,"Išmanusis laikrodis APPLE Watch 4 GPS, 4","Watch 4 GPS, 40m"
,0.0,5,,,,,,Nerasta Eugestos ataskaitoje,5,421020130559,Dantų šepetėlis ORAL-B DB4.510K kids,DB4.510K kids
,0.0,5,,,,,,Nerasta Eugestos ataskaitoje,5,004549642156,Kūrybinis rinkinys Nintendo LABO: Variet,Variety Kit (Toy
871010363307,26.0,5,Vnt.,TG120,401690.0,Dantų šepetėlio antgalis PHILIPS HX6012/07,LOG BENDRAS,Sujungta,31,871010363307,Dantų šepetėlio antgalis PHILIPS HX6012/,HX6012/07
803322460638,240.0,5,Vnt.,TG082,404097.0,Vandens filtravimo kasetė LAICA F0M,LOG BENDRAS,Sujungta,245,803322460638,Vandens filtravimo kasetė LAICA F0M,F0M
208347604401,45.0,5,Vnt.,TG265,421044.0,Garų surinktuvas ELICA HIDDEN IX/A/60,LOG BENDRAS,Sujungta,50,208347604401,Garų surinktuvas ELICA HIDDEN IX/A/60,HIDDEN IX/A/60
,0.0,5,,,,,,Nerasta Eugestos ataskaitoje,5,401511000936,Kirp. maš. nosiai WAHL Micro Groomsman 0,Micro Groomsman 
,0.0,5,,,,,,Nerasta Eugestos ataskaitoje,5,401367415453,"elementai ANSMANN LR1, 1 vnt., alkaline,","LR1, 1 vnt., alk"
,0.0,5,,,,,,Nerasta Eugestos ataskaitoje,5,692528193852,"Kolonėlė JBL GO 2, 3W, IPX7, su mikrofon",Kolonėlė JBL GO 
871010386678,23.0,5,Vnt.,TG120,401535.0,Mikseris PHILIPS HR3700/00,LOG BENDRAS,Sujungta,28,871010386678,Mikseris PHILIPS HR3700/00,HR3700/00
,0.0,5,,,,,,Nerasta Eugestos ataskaitoje,5,004825621069,Nerūd. plieno valiklis ASTONISH 750ml pu,750 ml puršk
303005006941,49.0,5,Vnt.,TG001,400909.0,Plaukų sukimo žnyplės BABYLISS C338E,LOG BENDRAS,Sujungta,54,303005006941,Plaukų sukimo žnyplės BABYLISS C338E,C338E
490552492884,8.0,5,Vnt.,TG150,400446.0,"Ausinės SONY MDRXD150B.AE ant ausų, pilkai juodos",LOG BENDRAS,Sujungta,13,490552492884,"Ausinės SONY MDRXD150B.AE ant ausų, pilk",MDRXD150B.AE ant
,0.0,5,,,,,,Nerasta Eugestos ataskaitoje,5,734005535227,"Ausinės MARSHALL MAJOR III, ant ausų, ju",Ausinės MARSHALL
,0.0,5,,,,,,Nerasta Eugestos ataskaitoje,5,871010388845,Plaukų tiesinimo žnyplės PHILIPS BHS377/,BHS377/00
,0.0,5,,,,,,Nerasta Eugestos ataskaitoje,5,000031262067,Masažuoklis HOMEDICS NMS-620H-EU,NMS-620H-EU
454873607181,48.0,5,Vnt.,TG150,400386.0,"Ausinės SONY WH-CH500H ant ausų, belaidės, pilkos",LOG BENDRAS,Sujungta,53,454873607181,"Ausinės SONY WH-CH500H ant ausų, belaidė",WH-CH500H ant au
454964215640,5.0,-5,Vnt.,TG112,451728.0,Kūrybinis rinkinys Nintendo LABO: Variety Kit (Toy-Con 01),LOG BENDRAS,Nerasta TOPO sandėlyje,0,,,
477901862101,13.0,5,Vnt.,TG099,400224.0,Čirvinių blynų keptuvė MIGIRIS,LOG BENDRAS,Sujungta,18,477901862101,Čirvinių blynų keptuvė MIGIRIS,Čirvinių blynų k
301666114769,45.0,5,Vnt.,TG158,401034.0,Kokteilinė TEFAL BL850D38,LOG BENDRAS,Sujungta,50,301666114769,Kokteilinė TEFAL BL850D38,BL850D38
400251606272,2.0,5,Vnt.,TG098,420749.0,Dulkių siurblys MIELE Complete C3 Pure Black Obsidia,LOG BENDRAS,Sujungta,7,400251606272,Dulkių siurblys MIELE Complete C3 Pure B,Complete C3 Pure
490552497402,8.0,5,Vnt.,TG150,403218.0,Radija SONY ICF-P36,LOG BENDRAS,Sujungta,13,490552497402,Radija SONY ICF-P36,ICF-P36
692528192836,30.0,5,Vnt.,TG066,401065.0,"Ausinės JBL T205 į ausis, auksinės",LOG BENDRAS,Sujungta,35,692528192836,"Ausinės JBL T205 į ausis, auksinės","T205 į ausis, au"
690144328565,5.0,5,Vnt.,TG057,421720.0,Mobilusis telefonas HUAWEI P30 Lite Blue,LOG BENDRAS,Sujungta,10,690144328565,Mob.tel. HUAWEI P30 Lite Blue,P30 Lite Blue
424200293457,9.0,5,Vnt.,TG021,404140.0,Kokteilinė BOSCH Mix&Go MMBM7G3M,LOG BENDRAS,Sujungta,14,424200293457,Kokteilinė BOSCH MMBM7G3M,MMBM7G3M
400251582590,3.0,5,Vnt.,TG098,420660.0,Dulkių siurblys MIELE Classic C1 PowerLine 800 W autumn red,LOG BENDRAS,Sujungta,8,400251582590,Dulkių siurblys MIELE Classic C1 PowerLi,Classic C1 Power
424200282462,37.0,5,Vnt.,TG021,402073.0,"Virdulys BOSCH TWK8611P, 1.5l",LOG BENDRAS,Sujungta,42,424200282462,"Virdulys BOSCH TWK8611P, 1.5l",TWK8611P
454873602156,15.0,5,Vnt.,TG150,400442.0,"Ausinės SONY MDRXB650BTB.CE7 ant ausų, belaidės, su mikrofonu, juodos",LOG BENDRAS,Sujungta,20,454873602156,"Ausinės SONY MDRXB650BTB.CE7 ant ausų, b",Ausinės SONY MDR
304538637120,15.0,5,Vnt.,TG158,400937.0,Vaflinė TEFAL SW854D16,LOG BENDRAS,Sujungta,20,304538637120,Vaflinė TEFAL SW854D16,SW854D16
501077714437,5.0,5,Vnt.,TG140,401586.0,Vonios svarstyklės SALTER 9204 WH3R,LOG BENDRAS,Sujungta,10,501077714437,Vonios svarstyklės SALTER 9204 WH3R,9204 WH3R
,0.0,5,,,,,,Nerasta Eugestos ataskaitoje,5,000000000000,Kavos virimo aparatas DELONGHI ESAM 2600,ESAM 2600
871010373801,3.0,5,Vnt.,TG120,401754.0,Barzdaskutė PHILIPS S5100/06,LOG BENDRAS,Sujungta,8,871010373801,Barzdaskutė PHILIPS S5100/06,S5100/06
880164389803,14.0,5,Vnt.,TG141,421580.0,"Planšetinis kompiuteris SAMSUNG Galaxy Tab A T510 10"" WiFi Black",LOG BENDRAS,Sujungta,19,880164389803,Planš.komp. SAMSUNG Galaxy Tab A T510 10,Galaxy Tab A T51
400814608060,45.0,5,Vnt.,TG146,400090.0,Plaukų formavimo šukos SEVERIN WL 0806,LOG BENDRAS,Sujungta,50,400814608060,Pl. formav. šukos SEVERIN WL 0806,WL 0806
312104004549,37.0,5,Vnt.,TG135,400492.0,Ventiliatorius ROWENTA VU 6140F0,LOG BENDRAS,Sujungta,42,312104004549,Ventiliatorius ROWENTA VU 6140F0,VU 6140F0
303005306670,53.0,5,Vnt.,TG001,400888.0,Plaukų formavimo šukos BABYLISS 667E,LOG BENDRAS,Sujungta,58,303005306670,Plaukų formavimo šukos BABYLISS 667E,667E
761303631814,95.0,5,Vnt.,TG108,400709.0,"Kava NESCAFE Dolce Gusto Lungo iš Kolumbijos, 12 kaps, 84g",LOG BENDRAS,Sujungta,100,761303631814,Kava NESCAFE Dolce Gusto Lungo iš Kolumb,Kava NESCAFE Dol
490552492510,3.0,5,Vnt.,TG150,400330.0,Muzikinis centras SONY CMT-SBT100,LOG BENDRAS,Sujungta,8,490552492510,Muzikinis centras SONY CMT-SBT100,CMT-SBT100
690144327286,158.0,5,Vnt.,TG057,421385.0,"Dėkliukas HUAWEI P Smart 2019 (Potter), silikoninis, skaidrus",LOG BENDRAS,Sujungta,163,690144327286,"Dėkliukas HUAWEI P Smart 2019 (Potter),",P Smart 2019 (Po
871010378290,80.0,5,Vnt.,TG120,401771.0,Dulkių siurblys PHILIPS FC6409/01,LOG BENDRAS,Sujungta,85,871010378290,Dulkių siurblys PHILIPS FC6409/01 PowerP,FC6409/01 PowerP
871010366077,250.0,5,Vnt.,TG120,401704.0,Pūkų surinkiklis PHILIPS GC026/00,LOG BENDRAS,Sujungta,255,871010366077,Pūkų surinkiklis PHILIPS GC026/00,GC026/00
801636191439,92.0,5,Vnt.,TG055,420592.0,Dulkių siurblys HOOVER XP81_XP25011,LOG BENDRAS,Sujungta,97,801636191439,Dulkių siurblys HOOVER XP81_XP25011,XP81_XP25011
697024452222,15.0,5,Vnt.,TG187,420496.0,"Ausinės Xiaomi Mi Basic, į ausis, mėlynos",LOG BENDRAS,Sujungta,20,697024452222,"Ausinės Xiaomi Mi Basic, į ausis, mėlyno",Ausinės Xiaomi M
502655535898,1.0,5,Vnt.,TG134,403294.0,Žaidimas XBOX ONE Red Dead Redemption 2,LOG TRŪKUMAS,Sujungta,6,502655535898,Žaidimas XBOX ONE Red Dead Redemption 2,Žaidimas XBOX ON
400251583383,8.0,5,Vnt.,TG098,401264.0,Dulkių siurblys robotas MIELE RX2 Scout,LOG BENDRAS,Sujungta,13,400251583383,Dulkių siurblys robotas MIELE RX2 Scout,RX2 Scout
880164326412,65.0,5,Vnt.,TG141,403591.0,USB raktas SAMSUNG MUF-64AB/EU,LOG BENDRAS,Sujungta,70,880164326412,USB raktas SAMSUNG MUF-64AB/EU,MUF-64AB/EU
871010382038,31.0,5,Vnt.,TG120,401798.0,Barzdaskutė PHILIPS S5530/06,LOG BENDRAS,Sujungta,36,871010382038,Barzdaskutė PHILIPS S5530/06,S5530/06
697024452621,2.0,5,Vnt.,TG187,420491.0,"Pelė Xiaomi Mi, bevielė, auksinė",LOG BENDRAS,Sujungta,7,697024452621,"Pelė Xiaomi Mi, bevielė, auksinė","Pelė Xiaomi Mi, "
871010376114,26.0,5,Vnt.,TG120,421306.0,Barzdaskutė PHILIPS OneBlade QP2520/30,LOG BENDRAS,Sujungta,31,871010376114,Barzdaskutė PHILIPS OneBlade QP2520/30,QP2520/30
200000103493,2.0,5,Vnt.,TG029,421273.0,Nešiojamas kompiuteris DELL Inspiron 15 3573 N5000/4/500GB/Lin,LOG BENDRAS,Sujungta,7,200000103493,Neš.komp. DELL Inspiron 15 3573 N5000/4/,Inspiron 15 3573
421020123701,3.0,5,Vnt.,TG114,420414.0,Dantų šepetėlis ORAL-B D12.513 Kids Star Wars + kelioninis dėklas,LOG BENDRAS,Sujungta,8,421020123701,Dantų šepetėlis ORAL-B D12.513 Kids Star,D12.513 Kids Sta
301666115136,97.0,5,Vnt.,TG158,401162.0,Kokteilinė TEFAL BL420838,LOG BENDRAS,Sujungta,102,301666115136,Kokteilinė TEFAL BL420838,BL420838
400849655943,771.0,5,Vnt.,TG173,404024.0,"Elementai VARTA AA LR6, 4 vnt. / High Energy Mignon",LOG BENDRAS,Sujungta,776,400849655943,"elementai VARTA AA LR6, 4 vnt. / High En","AA LR6, 4 vnt. /"
697023766345,115.0,5,Vnt.,TG187,420446.0,Plaukų džiovintuvas XIAOMI Soocas H3S,LOG BENDRAS,Sujungta,120,697023766345,Plaukų džiovintuvas XIAOMI Soocas H3S,Soocas H3S
641041263591,57.0,5,Vnt.,TG104,403758.0,Šašlykinė MUSTANG SKEWER GRILL + 6 iešmai,LOG BENDRAS,Sujungta,62,641041263591,Šašlykinė MUSTANG SKEWER GRILL + 6 iešma,SKEWER GRILL
733254355407,56.0,5,Vnt.,TG038,420646.0,Dulkių siurblys ELECTROLUX ESPC71DB,LOG BENDRAS,Sujungta,61,733254355407,Dulkių siurblys ELECTROLUX ESPC71DB,ESPC71DB
880164339672,3.0,5,Vnt.,TG141,400247.0,Išmanusis laikrodis SAMSUNG Galaxy Watch 42mm Black,LOG BENDRAS,Sujungta,8,880164339672,Išmanusis laikrodis SAMSUNG Galaxy Watch,Galaxy Watch 42m
590293483089,3.0,5,Vnt.,TG006,404401.0,Oro drėkintuvas ADLER AD 7957,LOG BENDRAS,Sujungta,8,590293483089,Oro drėkintuvas ADLER AD 7957,AD 7957
272425234326,5.0,-5,Vnt.,TG150,402529.0,"Vaizdo kasetė SONY MiniDV, 60 min / DVM60-COLOR",LOG BENDRAS,Nerasta TOPO sandėlyje,0,,,
421020121903,25.0,5,Vnt.,TG022,421253.0,Barzdakirpė BRAUN BT5060 + Gillette skustuvas,LOG BENDRAS,Sujungta,30,421020121903,Barzdakirpė BRAUN BT5060 + Gillette skus,BT5060 + Gillett
477139685645,2.0,5,Vnt.,TG159,404001.0,TELE2 PILDYK naršymo pakuotė 3 Eur,LOG BENDRAS,Sujungta,7,477139685645,"TELE2 PILDYK pakuotė NARŠYK, 3 EUR",TELE2 PILDYK pak
454873607302,5.0,-5,Vnt.,TG150,400373.0,"Kolonėlė SONY SRS-XB31W, pilka, Bluetooth, NFC, atspari vandeniui, IP67, su apšvietimu",LOG BENDRAS,Sujungta,0,454873607302,"Kolonėlė SONY SRS-XB31W, pilka, Bluetoot","SRS-XB31W, pilka"
871010383333,148.0,5,Vnt.,TG120,401838.0,Filtras kavos aparatui PHILIPS CA6903/10,LOG BENDRAS,Sujungta,153,871010383333,Filtras kavos aparatui PHILIPS CA6903/10,CA6903/10
421020162960,7.0,5,Vnt.,TG022,402277.0,Tinklelis BRAUN 11B Series1 + peiliukas,LOG BENDRAS,Sujungta,12,421020162960,Tinklelis BRAUN 11B Series1 + peiliukas,11B Series1 + pe
400814600378,2.0,5,Vnt.,TG146,400127.0,Pieno plakiklis SEVERIN SM 3590,LOG BENDRAS,Sujungta,7,400814600378,Pieno plakiklis SEVERIN SM 3590,SM 3590
109422257068,5.0,-5,Vnt.,TG079,451819.0,Kavos virimo aparatas KRUPS EA819N Arabica Latte,LOG BENDRAS,Nerasta TOPO sandėlyje,0,,,
871010367104,42.0,5,Vnt.,TG120,401697.0,Plaukų kirpimo mašinėlė PHILIPS HC5450/80,LOG BENDRAS,Sujungta,47,871010367104,Plaukų kirpimo mašinėlė PHILIPS HC5450/8,HC5450/80
871010380035,28.0,5,Vnt.,TG120,401915.0,Skrudintuvas PHILIPS HD2581/00,LOG BENDRAS,Sujungta,33,871010380035,Skrudintuvas PHILIPS HD2581/00,HD2581/00
761091761848,184.0,5,Vnt.,TG070,404297.0,Nukalk.tabletės kavos ap.JURA 3 plovimams,LOG BENDRAS,Sujungta,189,761091761848,Nukalk. tabletės kavos ap. JURA 3 plovim,3 vnt
303005015029,16.0,5,Vnt.,TG001,421073.0,Plaukų džiovintuvas BABYLISS 5721PE su stilingu krepšiu,LOG BENDRAS,Sujungta,21,303005015029,Plaukų džiovintuvas BABYLISS 5721PE su s,5721PE su stilin
871010384376,26.0,5,Vnt.,TG120,401897.0,Kūno skustuvas PHILIPS BG3010/15,LOG BENDRAS,Sujungta,31,871010384376,Kūno skustuvas PHILIPS BG3010/15,BG3010/15
692528193993,13.0,5,Vnt.,TG066,402334.0,"Ausinės JBL Tune500 ant ausų, balta",LOG BENDRAS,Sujungta,18,692528193993,"Ausinės JBL Tune500 ant ausų, balta",Tune500 ant ausų
421020121720,31.0,5,Vnt.,TG022,421076.0,Barzdaskutė BRAUN 9291cc,LOG BENDRAS,Sujungta,36,421020121720,Barzdaskutė BRAUN 9291cc,9291cc
690144325240,122.0,5,Vnt.,TG057,402337.0,"Dėkliukas HUAWEI Mate 20 Lite, TPU, nugarėlė, skaidri",LOG BENDRAS,Sujungta,127,690144325240,"Dėkliukas HUAWEI Mate 20 Lite, TPU, nuga",Dėkliukas HUAWEI
690144327298,24.0,5,Vnt.,TG057,421388.0,"Dėkliukas HUAWEI P30 PRO (Vogue), nugarėlė, silikoninė, juoda",LOG BENDRAS,Sujungta,29,690144327298,"Dėkliukas HUAWEI P30 PRO (Vogue), nugarė","P30 PRO (Vogue),"
732142397667,15.0,5,Vnt.,TG038,403662.0,Dulkių maišelis ELECTROLUX E210S,LOG BENDRAS,Sujungta,20,732142397667,Dulkių maišelis ELECTROLUX E210S,E210S
800370511395,2.0,5,Vnt.,TG188,401313.0,Pieno plakiklis ARIETE A2878/03 kreminis,LOG BENDRAS,Sujungta,7,800370511395,Pieno plakiklis ARIETE Vintage A2878/03,Vintage A2878/03
871010385042,3.0,4,Vnt.,TG120,401903.0,Dantų šepetėlio antgalis PHILIPS HX9002/10,LOG BENDRAS,Sujungta,7,871010385042,Dantų šepetėlio antgalis PHILIPS HX9002/,HX9002/10
031262087317,4.0,-4,Vnt.,TG199,401958.0,"Kolonėlė JAM Double Chill, pilka",LOG BENDRAS,Nerasta TOPO sandėlyje,0,,,
501077714340,12.0,4,Vnt.,TG140,401872.0,Vonios svarstyklės SALTER ULTIMATE ACCURACY BSCALE,LOG BENDRAS,Sujungta,16,501077714340,Vonios svarstyklės SALTER ULTIMATE ACCUR,ULTIMATE ACCURAC
871010385931,41.0,4,Vnt.,TG120,401911.0,Epiliatorius PHILIPS BRE635/00,LOG BENDRAS,Sujungta,45,871010385931,Epiliatorius PHILIPS BRE635/00,BRE635/00
027242621886,4.0,-4,Vnt.,TG150,403251.0,Diskas SONY DVD-R 1.4GB mini / DMR30A,KITA,Nerasta TOPO sandėlyje,0,,,
505037030052,11.0,4,Vnt.,TG144,401986.0,Sumuštinių keptuvė SCARLETT SL TM11501,LOG BENDRAS,Sujungta,15,505037030052,Sumuštinių keptuvė su keičiamomis plokšt,SL TM11501
503522312240,5.0,4,Vnt.,TG036,403055.0,Žaidimas PS4 Sims 4,LOG BENDRAS,Sujungta,9,503522312240,Žaidimas PS4 Sims 4,Žaidimas PS4 Sim
733254356278,86.0,4,Vnt.,TG038,420651.0,Dulkių siurblys šluota ELECTROLUX EUP84IGM,LOG BENDRAS,Sujungta,90,733254356278,Dulkių siurblys ELECTROLUX EUP84IGM,EUP84IGM
733254355427,43.0,4,Vnt.,TG038,420644.0,Dulkių siurblys ELECTROLUX EPF63EB,LOG BENDRAS,Sujungta,47,733254355427,Dulkių siurblys ELECTROLUX EPF63EB,EPF63EB
880608898299,8.0,4,Vnt.,TG141,420630.0,Dulkių siurblys šluota SAMSUNG VS60K6080KD/SB,LOG BENDRAS,Sujungta,12,880608898299,Dulkių siurblys SAMSUNG VS60K6080KD/SB,VS60K6080KD/SB
880608868657,50.0,4,Vnt.,TG141,420613.0,Dulkių siurblys SAMSUNG VC07M31E0HN/SB,LOG BENDRAS,Sujungta,54,880608868657,Dulkių siurblys SAMSUNG VC07M31E0HN/SB,VC07M31E0HN/SB
761303287063,200.0,4,Vnt.,TG108,403400.0,Kava NESCAFE Dolce Gusto Latte Macchiato vanilla 16 kaps.,LOG BENDRAS,Sujungta,204,761303287063,Kavos kapsulės NESCAFE Dolce Gusto Latte,Dolce Gusto Latt
869084203665,6.0,4,Vnt.,TG299,420608.0,Mikrobangų krosnelė BEKO MOC20100S,LOG BENDRAS,Sujungta,10,869084203665,Mikrob. krosnelė BEKO MOC20100S,MOC20100S
505037030791,23.0,4,Vnt.,TG144,403425.0,Skrudintuvas SCARLETT SC - TM11012,LOG BENDRAS,Sujungta,27,505037030791,Skrudintuvas SCARLETT SC - TM11012,SC - TM11012
869084208429,15.0,4,Vnt.,TG299,420602.0,Mikrobangų krosnelė BEKO MOF20110X,LOG BENDRAS,Sujungta,19,869084208429,Mikrob. krosnelė BEKO MOF20110X,MOF20110X
801636188430,21.0,4,Vnt.,TG055,420575.0,Dulkių siurblys HOOVER TE70 TE30011,LOG BENDRAS,Sujungta,25,801636188430,Dulkių siurblys HOOVER TE70 TE30011,TE70 TE30011
193268847286,36.0,4,Vnt.,TG084,420540.0,Nešiojamas kompiuteris LENOVO Legion Y530-15ICH i5-8300H/8/1TB+128GBSSD/GTX1050 2GB/Win,LOG BENDRAS,Sujungta,40,193268847286,Neš.komp. LENOVO Legion Y530-15ICH i5-83,Legion Y530-15IC
697024452775,35.0,4,Vnt.,TG187,420513.0,"Asmenukių lazda Xiaomi Mi, laidinis nuotolinis užraktas, pilka",LOG BENDRAS,Sujungta,39,697024452775,"Asmenukių lazda Xiaomi Mi, laidinis nuot",Asmenukių lazda 
693417770095,6.0,4,Vnt.,TG187,420512.0,"Asmenukių lazda Xiaomi Mi, Bluetooth, pilka",LOG BENDRAS,Sujungta,10,693417770095,"Asmenukių lazda Xiaomi Mi, Bluetooth, pi",Asmenukių lazda 
190198915337,4.0,-4,Vnt.,TG012,420438.0,"Išmanusis laikrodis APPLE Watch 4 GPS, 44mm Gold Alu Pink Sport Band",LOG BENDRAS,Nerasta TOPO sandėlyje,0,,,
880164326413,1.0,4,Vnt.,TG141,403585.0,USB raktas SAMSUNG MUF-128AB/EU,LOG BENDRAS,Sujungta,5,880164326413,USB raktas SAMSUNG MUF-128AB/EU,MUF-128AB/EU
880164319359,4.0,4,Vnt.,TG141,403589.0,"Atm.kort. SAMSUNG MicroSDXC 64GB UHS-I SDR104""PRO Endurance"" + adapt / MB-MJ64GA/EU",LOG BENDRAS,Sujungta,8,880164319359,Atm.kort. SAMSUNG MicroSDXC 64GB UHS-I S,MicroSDXC 64GB U
503093211378,3.0,4,Vnt.,TG036,404455.0,Žaidimas XBOX ONE UFC 2,LOG BENDRAS,Sujungta,7,503093211378,Žaidimas XBOX ONE UFC 2,UFC 2
503093612156,13.0,4,Vnt.,TG039,404372.0,Žaidimas PS4 Need for Speed: Payback,LOG BENDRAS,Sujungta,17,503093612156,Žaidimas PS4 Need for Speed: Payback,Žaidimas PS4 Nee
477019220079,2.0,4,Vnt.,TG081,404357.0,LABAS pakuotė + internetas 7 GB,LOG BENDRAS,Sujungta,6,477019220079,LABAS pakuotė + internetas 8 GB,LABAS pakuotė + 
